path,label
/parai/drum_samples/clap/Clap - [Sunk] @looplegend_.wav,clap
/parai/drum_samples/openhat/open hat (47).wav,openhat
/parai/drum_samples/snare/Snare 14.wav,snare
/parai/drum_samples/hihat/hihat - memory @rip.warheart.wav,hihat
/parai/drum_samples/kick/[] kick - shuhoku.wav,kick
/parai/drum_samples/clap/clap [alana].wav,clap
/parai/drum_samples/clap/clap (17).wav,clap
/parai/drum_samples/snare/snare - close @didusayaster.wav,snare
/parai/drum_samples/snare/Snare (Rent Free).wav,snare
/parai/drum_samples/openhat/open hat - facetime @rip.warheart.wav,openhat
/parai/drum_samples/clap/clap (47).wav,clap
/parai/drum_samples/808/808 2 copy.wav,808
/parai/drum_samples/hihat/Dynox - Dox HiHat @dynoxmusic.wav,hihat
/parai/drum_samples/808/808 (45).wav,808
/parai/drum_samples/808/MT2_Submarina 808.wav,808
/parai/drum_samples/808/808 (lenoxsquare).wav,808
/parai/drum_samples/clap/pint clap @thecxdy.wav,clap
/parai/drum_samples/snare/snare - nostalgic @didusayaster.wav,snare
/parai/drum_samples/clap/CLAP - iced up.wav,clap
/parai/drum_samples/snare/Snare 6.wav,snare
/parai/drum_samples/808/Descend 808 @khemics_.wav,808
/parai/drum_samples/hihat/HH (Armory).wav,hihat
/parai/drum_samples/snare/magic snare.wav,snare
/parai/drum_samples/808/808 Slaughter House (G#).wav,808
/parai/drum_samples/openhat/OP 8.wav,openhat
/parai/drum_samples/openhat/open hat (53).wav,openhat
/parai/drum_samples/808/Goyxrd 8081.wav,808
/parai/drum_samples/snare/snare (3).wav,snare
/parai/drum_samples/808/bones 808 @thecxdy.wav,808
/parai/drum_samples/808/808 - [Knife] @looplegend_.wav,808
/parai/drum_samples/808/808 (93).wav,808
/parai/drum_samples/openhat/Open Hat - [Drown] @looplegend_.wav,openhat
/parai/drum_samples/hihat/hi hat (45).wav,hihat
/parai/drum_samples/808/XanGang Sub  (3).wav,808
/parai/drum_samples/clap/Clap (Simple).wav,clap
/parai/drum_samples/hihat/hihat - soft @didusayaster.wav,hihat
/parai/drum_samples/808/MT2_Extra 808.wav,808
/parai/drum_samples/clap/High Clap @khemics_.wav,clap
/parai/drum_samples/hihat/hell shell hh.wav,hihat
/parai/drum_samples/hihat/NOST - Closed Hi Hat 04.wav,hihat
/parai/drum_samples/808/808 Hard Ahh Spins.wav,808
/parai/drum_samples/808/Pierre 808 2018.wav,808
/parai/drum_samples/hihat/Space HH @khemics_.wav,hihat
/parai/drum_samples/hihat/hi hat (19).wav,hihat
/parai/drum_samples/kick/[] kick - aurora.wav,kick
/parai/drum_samples/808/808 (Short Sub).wav,808
/parai/drum_samples/openhat/Triplet OH @khemics_.wav,openhat
/parai/drum_samples/kick/kick [wisdom].wav,kick
/parai/drum_samples/808/808 - cash shit.wav,808
/parai/drum_samples/hihat/west hihat  4.wav,hihat
/parai/drum_samples/hihat/NOST - Open Hi Hat 09.wav,hihat
/parai/drum_samples/snare/snare (18).wav,snare
/parai/drum_samples/kick/MT2_HYPE Kick_2.wav,kick
/parai/drum_samples/kick/NOST - Kick 09.wav,kick
/parai/drum_samples/snare/snare (14).wav,snare
/parai/drum_samples/openhat/fractured open hat @thecxdy.wav,openhat
/parai/drum_samples/hihat/[] hat - shuhoku.wav,hihat
/parai/drum_samples/openhat/stranger open hat @thecxdy.wav,openhat
/parai/drum_samples/808/808 - surge @rip.warheart.wav,808
/parai/drum_samples/808/808 - spinz.wav,808
/parai/drum_samples/808/808 - [Pac Man] @looplegend_.wav,808
/parai/drum_samples/hihat/demon hh.wav,hihat
/parai/drum_samples/808/808 (Textured Zay2).wav,808
/parai/drum_samples/hihat/world [hh].wav,hihat
/parai/drum_samples/hihat/ripper hh @thecxdy.wav,hihat
/parai/drum_samples/kick/Crisis (Kick).wav,kick
/parai/drum_samples/openhat/openhat (splashin).wav,openhat
/parai/drum_samples/hihat/hihat (myway).wav,hihat
/parai/drum_samples/kick/[] kick - ponk.wav,kick
/parai/drum_samples/kick/Kick 6.wav,kick
/parai/drum_samples/808/NOST - 808 #9 (C).wav,808
/parai/drum_samples/kick/dreamcast2 Kick (4).wav,kick
/parai/drum_samples/clap/Lemon Clap @khemics_.wav,clap
/parai/drum_samples/808/808 (68).wav,808
/parai/drum_samples/snare/bank snare.wav,snare
/parai/drum_samples/hihat/Hat - Hell Shell.wav,hihat
/parai/drum_samples/openhat/dot oh.wav,openhat
/parai/drum_samples/clap/Klap1.wav,clap
/parai/drum_samples/808/Industry spinz 3 808 @khemics_.wav,808
/parai/drum_samples/808/mania 808 @thecxdy.wav,808
/parai/drum_samples/kick/MT2_City Kick.wav,kick
/parai/drum_samples/hihat/NOST - Closed Hi Hat 09.wav,hihat
/parai/drum_samples/808/twizz 808.wav,808
/parai/drum_samples/hihat/HH 2.wav,hihat
/parai/drum_samples/hihat/[] hat - plasma.wav,hihat
/parai/drum_samples/openhat/open hat (12).wav,openhat
/parai/drum_samples/kick/NOST - Kick 10.wav,kick
/parai/drum_samples/snare/Snare - [Slime] @looplegend_.wav,snare
/parai/drum_samples/kick/KICK #4 @taddybbear.wav,kick
/parai/drum_samples/snare/Snare - [Call] @looplegend_.wav,snare
/parai/drum_samples/snare/Snare (Came & Saw).wav,snare
/parai/drum_samples/808/808 - [Lock] @looplegend_.wav,808
/parai/drum_samples/openhat/open hat (6).wav,openhat
/parai/drum_samples/snare/SNARE Zay.wav,snare
/parai/drum_samples/kick/MT2_Sanny Kick.wav,kick
/parai/drum_samples/clap/clap (jacksonville).wav,clap
/parai/drum_samples/808/808 (52).wav,808
/parai/drum_samples/808/808 - [Lex Luger] (G#) @looplegend_.wav,808
/parai/drum_samples/808/dirty 808.wav,808
/parai/drum_samples/snare/stick alt sn @thecxdy.wav,snare
/parai/drum_samples/snare/Snare 15.wav,snare
/parai/drum_samples/clap/ol_ reliable [clap].wav,clap
/parai/drum_samples/snare/Snare 8.wav,snare
/parai/drum_samples/snare/Rack SN @khemics_.wav,snare
/parai/drum_samples/808/808 - dark knight dummo.wav,808
/parai/drum_samples/808/Zaytoven 808.wav,808
/parai/drum_samples/hihat/hi hat (8).wav,hihat
/parai/drum_samples/clap/Dynox - Champion Clap @dynoxmusic.wav,clap
/parai/drum_samples/kick/NOST - Kick 06.wav,kick
/parai/drum_samples/hihat/HH 5.wav,hihat
/parai/drum_samples/openhat/OH #4 @taddybbear.wav,openhat
/parai/drum_samples/openhat/open hat (44).wav,openhat
/parai/drum_samples/hihat/Simplistic HH @khemics_.wav,hihat
/parai/drum_samples/808/NOST - 808 #8 (C).wav,808
/parai/drum_samples/clap/clap (34).wav,clap
/parai/drum_samples/808/MT2_Delta 808.wav,808
/parai/drum_samples/openhat/open hat (29).wav,openhat
/parai/drum_samples/808/808 - [Walk] @looplegend_.wav,808
/parai/drum_samples/808/808 [yami].wav,808
/parai/drum_samples/snare/NOST - Snare 11.wav,snare
/parai/drum_samples/hihat/[] hat - descendant.wav,hihat
/parai/drum_samples/clap/Clap - [Merge] @looplegend_.wav,clap
/parai/drum_samples/clap/clap (40).wav,clap
/parai/drum_samples/kick/Kick - [Knock] @looplegend_.wav,kick
/parai/drum_samples/hihat/no friends [hh].wav,hihat
/parai/drum_samples/clap/MT2_K Clap.wav,clap
/parai/drum_samples/kick/Kick - [Wondagurl Kick] @looplegend_.wav,kick
/parai/drum_samples/clap/clap (8).wav,clap
/parai/drum_samples/hihat/hihat (wesleypresley).wav,hihat
/parai/drum_samples/hihat/pierre hh.wav,hihat
/parai/drum_samples/808/Yoga 808 @khemics_.wav,808
/parai/drum_samples/808/Aletheo 808.wav,808
/parai/drum_samples/808/Ayeplu$ - Break Dance (Short) 808.wav,808
/parai/drum_samples/openhat/open hat (36).wav,openhat
/parai/drum_samples/openhat/OH (LoLo).wav,openhat
/parai/drum_samples/808/[] 808 - zelda.wav,808
/parai/drum_samples/kick/berry [kick].wav,kick
/parai/drum_samples/openhat/no end open hat @thecxdy.wav,openhat
/parai/drum_samples/clap/short reverb clap.wav,clap
/parai/drum_samples/hihat/HH (Occasions).wav,hihat
/parai/drum_samples/snare/[] snare - plasma.wav,snare
/parai/drum_samples/clap/8 bit clap.wav,clap
/parai/drum_samples/openhat/OP 6.wav,openhat
/parai/drum_samples/808/808 - yo pierre.wav,808
/parai/drum_samples/clap/Â¥ Clap @khemics_.wav,clap
/parai/drum_samples/clap/MT2_Allergy Clap.wav,clap
/parai/drum_samples/hihat/MT2_Name HH.wav,hihat
/parai/drum_samples/clap/NOST - Clap 14.wav,clap
/parai/drum_samples/snare/Dynox - Bit Snare @dynoxmusic.wav,snare
/parai/drum_samples/808/808 (73).wav,808
/parai/drum_samples/808/[] 808 - ragestar.wav,808
/parai/drum_samples/hihat/Reverse hat 5.wav,hihat
/parai/drum_samples/hihat/Hi HH @khemics_.wav,hihat
/parai/drum_samples/hihat/hh [muto].wav,hihat
/parai/drum_samples/808/808 (96).wav,808
/parai/drum_samples/hihat/lil hi hat.wav,hihat
/parai/drum_samples/kick/kick7.mp3,kick
/parai/drum_samples/808/[] 808 - descendant.wav,808
/parai/drum_samples/snare/down snare.wav,snare
/parai/drum_samples/kick/kick (8).wav,kick
/parai/drum_samples/snare/olrax sn @thecxdy.wav,snare
/parai/drum_samples/openhat/MT2_Green OH.wav,openhat
/parai/drum_samples/openhat/open hat (2).wav,openhat
/parai/drum_samples/snare/mafia sn.wav,snare
/parai/drum_samples/clap/Vaulted Clap @khemics_.wav,clap
/parai/drum_samples/snare/Viper SN @khemics_.wav,snare
/parai/drum_samples/openhat/#bain open crash (tempo sync_d) @thecxdy.wav,openhat
/parai/drum_samples/openhat/open hat (10).wav,openhat
/parai/drum_samples/808/808 3 copy.wav,808
/parai/drum_samples/808/beast 808 @thecxdy.wav,808
/parai/drum_samples/snare/[] snare - ponk.wav,snare
/parai/drum_samples/hihat/dolla [hh].wav,hihat
/parai/drum_samples/clap/slug clap.wav,clap
/parai/drum_samples/808/MT2_MyAtom_X3 808.wav,808
/parai/drum_samples/kick/dreamcast2 Kick (2).wav,kick
/parai/drum_samples/808/Cymatics - 808 Wavetable (C).wav,808
/parai/drum_samples/808/[] 808 - kanojo.wav,808
/parai/drum_samples/hihat/hi hat (36).wav,hihat
/parai/drum_samples/hihat/Reverse hat 2.wav,hihat
/parai/drum_samples/808/808 - trippie.wav,808
/parai/drum_samples/clap/clap (horses).wav,clap
/parai/drum_samples/kick/Freestyle Kick @khemics_.wav,kick
/parai/drum_samples/hihat/HAT - bourne.wav,hihat
/parai/drum_samples/hihat/NOST - Closed Hi Hat 01.wav,hihat
/parai/drum_samples/snare/SNARE - tm88.wav,snare
/parai/drum_samples/snare/snare [magic].wav,snare
/parai/drum_samples/808/sam g [808].wav,808
/parai/drum_samples/clap/layer clap.wav,clap
/parai/drum_samples/snare/snare [stratos].wav,snare
/parai/drum_samples/openhat/Nukem Open Hat.wav,openhat
/parai/drum_samples/clap/clap (nocomplaints).wav,clap
/parai/drum_samples/openhat/Wizard OH @khemics_.wav,openhat
/parai/drum_samples/clap/Clap 3.wav,clap
/parai/drum_samples/snare/[] snare - ragestar.wav,snare
/parai/drum_samples/hihat/Dynox - Jo HiHat @dynoxmusic.wav,hihat
/parai/drum_samples/snare/xxwag snare.wav,snare
/parai/drum_samples/openhat/oh [crystal].wav,openhat
/parai/drum_samples/hihat/hihat - nah bro that's just the normal tag @rip.warheart.wav,hihat
/parai/drum_samples/hihat/canon hh @thecxdy.wav,hihat
/parai/drum_samples/clap/Smooth Clap.wav,clap
/parai/drum_samples/openhat/open hat (30).wav,openhat
/parai/drum_samples/clap/Clap 1.wav,clap
/parai/drum_samples/openhat/Bounce OH @khemics_.wav,openhat
/parai/drum_samples/kick/Kick 18.wav,kick
/parai/drum_samples/openhat/[] open - inspire.wav,openhat
/parai/drum_samples/snare/Owl SN @khemics_.wav,snare
/parai/drum_samples/openhat/roller oh.wav,openhat
/parai/drum_samples/kick/rack kick.wav,kick
/parai/drum_samples/snare/XanGang Snare  (6).wav,snare
/parai/drum_samples/snare/dreamcast2 Snare (12).wav,snare
/parai/drum_samples/snare/SNARE - hacked my snap.wav,snare
/parai/drum_samples/snare/SNARE - ea.wav,snare
/parai/drum_samples/openhat/OH - kod.wav,openhat
/parai/drum_samples/openhat/open hat - waifu @rip.warheart.wav,openhat
/parai/drum_samples/hihat/Reverse hat 3.wav,hihat
/parai/drum_samples/808/NOST - 808 #10 (E).wav,808
/parai/drum_samples/808/plugg 808 @khemics_.wav,808
/parai/drum_samples/snare/snare (21).wav,snare
/parai/drum_samples/808/808 - wassup.wav,808
/parai/drum_samples/snare/real [snare].wav,snare
/parai/drum_samples/openhat/Render OH @khemics_.wav,openhat
/parai/drum_samples/kick/Dynox - Her Kick @dynoxmusic.wav,kick
/parai/drum_samples/hihat/hi hat (50).wav,hihat
/parai/drum_samples/kick/kankan tweaked dp kick.wav,kick
/parai/drum_samples/kick/Kick (Lover).wav,kick
/parai/drum_samples/snare/Snare - [Wood] @looplegend_.wav,snare
/parai/drum_samples/clap/Zay Clap @khemics_.wav,clap
/parai/drum_samples/clap/CLAP #2 @taddybbear.wav,clap
/parai/drum_samples/snare/Snare 20.wav,snare
/parai/drum_samples/808/808 - gotta push so i can pull @rip.warheart.wav,808
/parai/drum_samples/clap/drft clap @thecxdy.wav,clap
/parai/drum_samples/clap/clap - snaz @didusayaster.wav,clap
/parai/drum_samples/808/808 - [Shark] @looplegend_.wav,808
/parai/drum_samples/hihat/hi hat (10).wav,hihat
/parai/drum_samples/snare/yen snare.wav,snare
/parai/drum_samples/808/808 - ice @didusayaster.wav,808
/parai/drum_samples/808/[] 808 - r34.wav,808
/parai/drum_samples/hihat/HH (Lotus).wav,hihat
/parai/drum_samples/hihat/loot hh @thecxdy.wav,hihat
/parai/drum_samples/openhat/#sugr free open crash (tempo sync_d) @thecxdy.wav,openhat
/parai/drum_samples/hihat/t0p fl00r hh @thecxdy.wav,hihat
/parai/drum_samples/kick/Kick - [Rango] @looplegend_.wav,kick
/parai/drum_samples/808/Ayeplu$ - Green Fire (Short) 808.wav,808
/parai/drum_samples/808/Dynox - Flay 808 @dynoxmusic.wav,808
/parai/drum_samples/kick/Kick - [Banger] @looplegend_.wav,kick
/parai/drum_samples/snare/LC Dark Snare 3.wav,snare
/parai/drum_samples/808/808 9.wav,808
/parai/drum_samples/hihat/Hi-Hat 2.wav,hihat
/parai/drum_samples/kick/[] kick - zelda.wav,kick
/parai/drum_samples/hihat/Sharp HH @khemics_.wav,hihat
/parai/drum_samples/808/Ayeplu$ - Song Bird 808.wav,808
/parai/drum_samples/808/808 - [Ghost Rider] @looplegend_.wav,808
/parai/drum_samples/openhat/open hat (18).wav,openhat
/parai/drum_samples/snare/snare (cocaine).wav,snare
/parai/drum_samples/clap/Clap - [Legendary] @looplegend_.wav,clap
/parai/drum_samples/openhat/muffled open hat.wav,openhat
/parai/drum_samples/openhat/spit oh.wav,openhat
/parai/drum_samples/snare/Daityas - Clock Snare.wav,snare
/parai/drum_samples/808/808 (25).wav,808
/parai/drum_samples/snare/[] snare - rave bae.wav,snare
/parai/drum_samples/openhat/LC Dark Open Hat.wav,openhat
/parai/drum_samples/hihat/HAT - rip.wav,hihat
/parai/drum_samples/snare/SNARE - regular.wav,snare
/parai/drum_samples/808/5er 808 @thecxdy.wav,808
/parai/drum_samples/kick/TWAT 2 Kick.wav,kick
/parai/drum_samples/808/spank 808.wav,808
/parai/drum_samples/kick/dreamcast2 Kick (3).wav,kick
/parai/drum_samples/snare/Snare 5.wav,snare
/parai/drum_samples/808/808 17.wav,808
/parai/drum_samples/808/H!ckey 808.wav,808
/parai/drum_samples/kick/gucci kick.wav,kick
/parai/drum_samples/hihat/hh [joker].wav,hihat
/parai/drum_samples/openhat/open hat (37).wav,openhat
/parai/drum_samples/808/808 (38).wav,808
/parai/drum_samples/hihat/Hi-Hat (Coconut Oil).wav,hihat
/parai/drum_samples/clap/clap (7).wav,clap
/parai/drum_samples/hihat/trinket hh.wav,hihat
/parai/drum_samples/openhat/OH (Bitter).wav,openhat
/parai/drum_samples/openhat/openhat (hiccup).wav,openhat
/parai/drum_samples/clap/Clap (Bubble).wav,clap
/parai/drum_samples/clap/clap (42).wav,clap
/parai/drum_samples/clap/Clap (Thats Right).wav,clap
/parai/drum_samples/openhat/openhat (criplit).wav,openhat
/parai/drum_samples/808/808 [slime].wav,808
/parai/drum_samples/snare/Industry SN @khemics_.wav,snare
/parai/drum_samples/hihat/HH 19.wav,hihat
/parai/drum_samples/snare/alucard sn @thecxdy.wav,snare
/parai/drum_samples/hihat/hh [tic].wav,hihat
/parai/drum_samples/snare/Snare (Disregard).wav,snare
/parai/drum_samples/clap/Clap (N64_2).wav,clap
/parai/drum_samples/808/[] 808 - golden.wav,808
/parai/drum_samples/openhat/open hat (41).wav,openhat
/parai/drum_samples/kick/[] kick - ragestar.wav,kick
/parai/drum_samples/hihat/Platinum HH @khemics_.wav,hihat
/parai/drum_samples/808/Cymatics - 808 Blister (C).wav,808
/parai/drum_samples/808/808 (PradaU).wav,808
/parai/drum_samples/808/808 (14).wav,808
/parai/drum_samples/hihat/HH 16.wav,hihat
/parai/drum_samples/snare/Snare - [Zay] @looplegend_.wav,snare
/parai/drum_samples/snare/SNARE #8 @taddybbear.wav,snare
/parai/drum_samples/snare/Snare (Solutions).wav,snare
/parai/drum_samples/clap/Crisp Clap 2 @khemics_.wav,clap
/parai/drum_samples/kick/kick6.mp3,kick
/parai/drum_samples/808/Jiggy 808.wav,808
/parai/drum_samples/kick/dreamcast2 Kick (1).wav,kick
/parai/drum_samples/snare/{PNB} ZaySn.wav,snare
/parai/drum_samples/clap/LC Dark Clap 2.wav,clap
/parai/drum_samples/hihat/NOST - Closed Hi Hat 10.wav,hihat
/parai/drum_samples/hihat/HH 17.wav,hihat
/parai/drum_samples/snare/hard sn.wav,snare
/parai/drum_samples/808/NOST - 808 #2 (E).wav,808
/parai/drum_samples/hihat/Dynox - Kilo HiHat @dynoxmusic.wav,hihat
/parai/drum_samples/openhat/open hat (24).wav,openhat
/parai/drum_samples/openhat/MT2_Matrix OH.wav,openhat
/parai/drum_samples/hihat/Phased HH @khemics_.wav,hihat
/parai/drum_samples/openhat/panner oh.wav,openhat
/parai/drum_samples/clap/clap (notme).wav,clap
/parai/drum_samples/clap/Dirt clap.wav,clap
/parai/drum_samples/openhat/OP 14.wav,openhat
/parai/drum_samples/openhat/OH (SloMo).wav,openhat
/parai/drum_samples/808/808 16.wav,808
/parai/drum_samples/clap/clap (49).wav,clap
/parai/drum_samples/hihat/HH 14.wav,hihat
/parai/drum_samples/snare/Snare (Conquered).wav,snare
/parai/drum_samples/clap/clap (purplepotion).wav,clap
/parai/drum_samples/openhat/nervous open hat @thecxdy.wav,openhat
/parai/drum_samples/hihat/hh [shake].wav,hihat
/parai/drum_samples/openhat/MT2_Red OH.wav,openhat
/parai/drum_samples/kick/KICK - bbw.wav,kick
/parai/drum_samples/hihat/[] hat - rave bae.wav,hihat
/parai/drum_samples/openhat/OH #1 @taddybbear.wav,openhat
/parai/drum_samples/snare/Snare 13.wav,snare
/parai/drum_samples/snare/DANIKIYOKO Snare 4.wav,snare
/parai/drum_samples/snare/Snare (Inter).wav,snare
/parai/drum_samples/hihat/hi hat (43).wav,hihat
/parai/drum_samples/808/canceled project 808 @thecxdy ~patreon~.wav,808
/parai/drum_samples/clap/clap (36).wav,clap
/parai/drum_samples/808/808 - cheesed.wav,808
/parai/drum_samples/hihat/hihat (omg).wav,hihat
/parai/drum_samples/clap/Reverse clap 1.wav,clap
/parai/drum_samples/kick/Kick 8.wav,kick
/parai/drum_samples/clap/Clap - [Logic] @looplegend_.wav,clap
/parai/drum_samples/808/boost [808].wav,808
/parai/drum_samples/808/808 (6).wav,808
/parai/drum_samples/808/808 (cracked).wav,808
/parai/drum_samples/kick/kick [luna].wav,kick
/parai/drum_samples/snare/snare - contemplate @rip.warheart.wav,snare
/parai/drum_samples/clap/Chunk clap.wav,clap
/parai/drum_samples/snare/New SN @khemics_.wav,snare
/parai/drum_samples/808/{PNB} 808.wav,808
/parai/drum_samples/kick/Kick 7.wav,kick
/parai/drum_samples/snare/Snare (Depths).wav,snare
/parai/drum_samples/snare/snare (6).wav,snare
/parai/drum_samples/clap/! Clap 2 @khemics_.wav,clap
/parai/drum_samples/kick/[] kick - gucci.wav,kick
/parai/drum_samples/kick/kick5.mp3,kick
/parai/drum_samples/808/808 (18).wav,808
/parai/drum_samples/snare/Snare (It's a Rim).wav,snare
/parai/drum_samples/808/[] 808 - fury.wav,808
/parai/drum_samples/openhat/open hat (8).wav,openhat
/parai/drum_samples/808/ooo 808.wav,808
/parai/drum_samples/snare/36 Sn @khemics_.wav,snare
/parai/drum_samples/clap/Reverse clap 3.wav,clap
/parai/drum_samples/openhat/Sauce OH @khemics_.wav,openhat
/parai/drum_samples/808/808 - basic ahh zay @rip.warheart.wav,808
/parai/drum_samples/808/808 11.wav,808
/parai/drum_samples/hihat/HH (Drifter).wav,hihat
/parai/drum_samples/openhat/Dynox - Piper OpenHat @dynoxmusic.wav,openhat
/parai/drum_samples/hihat/flick hh.wav,hihat
/parai/drum_samples/hihat/hh [idk].wav,hihat
/parai/drum_samples/808/808 - pierre 2018.wav,808
/parai/drum_samples/808/808 - bourne.wav,808
/parai/drum_samples/hihat/hihat (okbitch).wav,hihat
/parai/drum_samples/openhat/[] open - mikoto.wav,openhat
/parai/drum_samples/openhat/open hat (23).wav,openhat
/parai/drum_samples/snare/dreamcast2 Snare (11).wav,snare
/parai/drum_samples/hihat/Hat (6).wav,hihat
/parai/drum_samples/clap/NOST - Clap 09.wav,clap
/parai/drum_samples/openhat/OP 7.wav,openhat
/parai/drum_samples/snare/DANIKIYOKO Snare 1.wav,snare
/parai/drum_samples/808/oreo 808.wav,808
/parai/drum_samples/snare/NOST - Snare 14.wav,snare
/parai/drum_samples/kick/KICK - nudy.wav,kick
/parai/drum_samples/808/Covert Zay @khemics_.wav,808
/parai/drum_samples/hihat/hi hat (14).wav,hihat
/parai/drum_samples/808/808 (30).wav,808
/parai/drum_samples/808/808 - [Shortpinz] @looplegend_.wav,808
/parai/drum_samples/808/808 10.wav,808
/parai/drum_samples/808/Juug Sub.wav,808
/parai/drum_samples/clap/clap (22).wav,clap
/parai/drum_samples/808/thick 808 @thecxdy ~patreon~.wav,808
/parai/drum_samples/hihat/hi hat (46).wav,hihat
/parai/drum_samples/clap/clap - weirdo @rip.warheart.wav,clap
/parai/drum_samples/808/ctm 808.wav,808
/parai/drum_samples/openhat/OH (Downward).wav,openhat
/parai/drum_samples/snare/NOST - Snare 10.wav,snare
/parai/drum_samples/kick/Essential kick 1.wav,kick
/parai/drum_samples/808/NOST - 808 #1 (D).wav,808
/parai/drum_samples/snare/snare [jinzo].wav,snare
/parai/drum_samples/hihat/hihat (groupie).wav,hihat
/parai/drum_samples/clap/NOST - Clap 04.wav,clap
/parai/drum_samples/808/XanGang Sub  (1).wav,808
/parai/drum_samples/clap/clap - sus @didusayaster.wav,clap
/parai/drum_samples/openhat/open hat (55).wav,openhat
/parai/drum_samples/snare/Snare (Trippy).wav,snare
/parai/drum_samples/kick/Kick 4.wav,kick
/parai/drum_samples/snare/Snare (Lofi).wav,snare
